,PAT001-S10,PAT001-S8,PAT001-S7,PAT001-S11,PAT001-S5,PAT001-S12,PAT001-S3,PAT001-T1,PAT001-S9,PAT001-S6,PAT001-S2,PAT001-S4
PAT001-S10,inf,36.916666666666664,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAT001-S8,36.916666666666664,inf,35.0,32.276041666666664,inf,inf,inf,inf,inf,inf,inf,inf
PAT001-S7,inf,35.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAT001-S11,inf,32.276041666666664,inf,inf,35.0,inf,inf,inf,52.22053571428572,45.416964285714286,37.18125,35.59375
PAT001-S5,inf,inf,inf,35.0,inf,inf,inf,inf,inf,inf,inf,inf
PAT001-S12,inf,inf,inf,inf,inf,inf,inf,73.0,46.0,inf,inf,inf
PAT001-S3,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
PAT001-T1,inf,inf,inf,inf,inf,73.0,0.0,inf,inf,inf,inf,inf
PAT001-S9,inf,inf,inf,52.22053571428572,inf,46.0,inf,inf,inf,inf,inf,inf
PAT001-S6,inf,inf,inf,45.416964285714286,inf,inf,inf,inf,inf,inf,inf,inf
PAT001-S2,inf,inf,inf,37.18125,inf,inf,inf,inf,inf,inf,inf,inf
PAT001-S4,inf,inf,inf,35.59375,inf,inf,inf,inf,inf,inf,inf,inf
