,PAT002-S10,PAT002-S2,PAT002-T1,PAT002-S4,PAT002-S7,PAT002-S6,PAT002-S11,PAT002-S8,PAT002-S3,PAT002-S5,PAT002-S9
PAT002-S10,0.0,60.0,60.0,60.14166666666667,64.39166666666668,58.56666666666666,60.898809523809526,62.18452380952381,60.97916666666667,62.1875,63.020833333333336
PAT002-S2,60.0,0.0,0.0,62.30833333333333,66.55833333333334,60.73333333333333,63.06547619047619,64.35119047619047,63.14583333333333,64.35416666666666,65.1875
PAT002-T1,60.0,0.0,0.0,62.30833333333333,66.55833333333334,60.73333333333333,63.06547619047619,64.35119047619047,63.14583333333333,64.35416666666666,65.1875
PAT002-S4,60.141666666666666,62.30833333333334,62.30833333333334,0.0,51.0,52.375,60.207142857142856,61.49285714285715,60.2875,61.49583333333334,62.329166666666666
PAT002-S7,64.39166666666667,66.55833333333334,66.55833333333334,51.0,0.0,56.625,64.45714285714286,65.74285714285715,64.5375,65.74583333333334,66.57916666666667
PAT002-S6,58.56666666666666,60.733333333333334,60.733333333333334,52.375,56.625,0.0,58.63214285714285,59.917857142857144,58.7125,59.920833333333334,60.75416666666666
PAT002-S11,60.898809523809526,63.06547619047619,63.06547619047619,60.20714285714286,64.45714285714286,58.63214285714285,0.0,51.0,60.29464285714286,61.50297619047619,62.336309523809526
PAT002-S8,62.18452380952381,64.35119047619048,64.35119047619048,61.49285714285714,65.74285714285713,59.917857142857144,51.0,0.0,61.58035714285714,62.788690476190474,63.62202380952381
PAT002-S3,60.97916666666667,63.14583333333333,63.14583333333333,60.2875,64.5375,58.7125,60.29464285714286,61.58035714285714,0.0,57.58333333333333,58.41666666666667
PAT002-S5,62.1875,64.35416666666666,64.35416666666666,61.49583333333333,65.74583333333334,59.920833333333334,61.50297619047619,62.788690476190474,57.58333333333333,0.0,56.0
PAT002-S9,63.02083333333334,65.1875,65.1875,62.32916666666667,66.57916666666668,60.75416666666667,62.33630952380953,63.62202380952381,58.41666666666667,56.0,0.0
