,PAT008-S10,PAT008-S12,PAT008-S3,PAT008-S4,PAT008-S7,PAT008-S11,PAT008-S6,PAT008-S9,PAT008-S8,PAT008-T1,PAT008-S2,PAT008-S5
PAT008-S10,0.0,58.0,63.275,64.36388888888888,68.58611111111111,70.2797619047619,69.63690476190476,64.63690476190476,70.04166666666666,70.04166666666666,66.1875,68.8125
PAT008-S12,58.0,0.0,55.025,56.11388888888889,60.336111111111116,62.029761904761905,61.386904761904766,56.386904761904766,61.791666666666664,61.791666666666664,57.9375,60.5625
PAT008-S3,63.275,55.025,0.0,54.88888888888889,59.11111111111111,63.054761904761904,62.411904761904765,57.411904761904765,62.81666666666666,62.81666666666666,58.9625,61.5875
PAT008-S4,64.36388888888888,56.11388888888889,54.888888888888886,0.0,52.0,64.14365079365079,63.50079365079365,58.50079365079365,63.90555555555555,63.90555555555555,60.05138888888889,62.67638888888889
PAT008-S7,68.58611111111111,60.33611111111111,59.11111111111111,52.0,0.0,68.365873015873,67.72301587301587,62.723015873015875,68.12777777777777,68.12777777777777,64.27361111111111,66.89861111111111
PAT008-S11,70.2797619047619,62.029761904761905,63.054761904761904,64.1436507936508,68.365873015873,0.0,52.5,47.5,61.57142857142857,61.57142857142857,60.592261904761905,63.217261904761905
PAT008-S6,69.63690476190476,61.386904761904766,62.411904761904765,63.50079365079366,67.72301587301587,52.5,0.0,46.0,60.92857142857143,60.92857142857143,59.949404761904766,62.574404761904766
PAT008-S9,64.63690476190476,56.386904761904766,57.411904761904765,58.50079365079366,62.723015873015875,47.5,46.0,0.0,55.92857142857143,55.92857142857143,54.949404761904766,57.574404761904766
PAT008-S8,70.04166666666666,61.791666666666664,62.81666666666666,63.90555555555556,68.12777777777777,61.57142857142857,60.92857142857143,55.92857142857143,0.0,0.0,60.354166666666664,62.979166666666664
PAT008-T1,70.04166666666666,61.791666666666664,62.81666666666666,63.90555555555556,68.12777777777777,61.57142857142857,60.92857142857143,55.92857142857143,0.0,0.0,60.354166666666664,62.979166666666664
PAT008-S2,66.1875,57.9375,58.9625,60.05138888888889,64.27361111111111,60.592261904761905,59.949404761904766,54.949404761904766,60.354166666666664,60.354166666666664,0.0,58.0
PAT008-S5,68.8125,60.5625,61.5875,62.67638888888889,66.89861111111111,63.217261904761905,62.574404761904766,57.574404761904766,62.979166666666664,62.979166666666664,58.0,0.0
