,PAT009-S10,PAT009-S11,PAT009-S3,PAT009-S5,PAT009-S6,PAT009-S12,PAT009-S4,PAT009-S2,PAT009-T1,PAT009-S9,PAT009-S7,PAT009-S8
PAT009-S10,0.0,55.0,57.8125,60.8125,56.828125,61.390625,64.515625,57.690625,57.690625,64.01919642857143,64.66205357142857,66.66205357142857
PAT009-S11,55.0,0.0,60.1875,63.1875,59.203125,63.765625,66.890625,60.065625,60.065625,66.39419642857143,67.03705357142857,69.03705357142857
PAT009-S3,57.8125,60.1875,0.0,59.0,60.484375,65.046875,68.171875,61.346875,61.346875,67.67544642857143,68.31830357142857,70.31830357142857
PAT009-S5,60.8125,63.1875,59.0,0.0,63.484375,68.046875,71.171875,64.346875,64.346875,70.67544642857143,71.31830357142857,73.31830357142857
PAT009-S6,56.828125,59.203125,60.484375,63.484375,0.0,63.03125,66.15625,59.33125,59.33125,65.65982142857143,66.30267857142857,68.30267857142857
PAT009-S12,61.390625,63.765625,65.046875,68.046875,63.03125,0.0,55.0,56.9875,56.9875,63.31607142857143,63.95892857142857,65.95892857142857
PAT009-S4,64.515625,66.890625,68.171875,71.171875,66.15625,55.0,0.0,60.1125,60.1125,66.44107142857143,67.08392857142857,69.08392857142857
PAT009-S2,57.690625,60.065625,61.346875,64.346875,59.33125,56.9875,60.1125,0.0,0.0,58.17857142857143,58.82142857142857,60.82142857142857
PAT009-T1,57.690625,60.065625,61.346875,64.346875,59.33125,56.9875,60.1125,0.0,0.0,58.17857142857143,58.82142857142857,60.82142857142857
PAT009-S9,64.01919642857143,66.39419642857143,67.67544642857143,70.67544642857143,65.65982142857143,63.31607142857143,66.44107142857143,58.17857142857143,58.17857142857143,0.0,59.0,61.0
PAT009-S7,64.66205357142857,67.03705357142857,68.31830357142857,71.31830357142857,66.30267857142857,63.95892857142857,67.08392857142857,58.82142857142857,58.82142857142857,59.0,0.0,52.0
PAT009-S8,66.66205357142857,69.03705357142857,70.31830357142857,73.31830357142857,68.30267857142857,65.95892857142857,69.08392857142857,60.82142857142857,60.82142857142857,61.0,52.0,0.0
